T03,Population growth and indicators of fertility and mortality,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2020,Population annual rate of increase (percent),0.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2020,Total fertility rate (children per women),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2020,"Infant mortality for both sexes (per 1,000 live births)",28.3,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
1,"Total, all countries or areas",2020,"Maternal mortality ratio (deaths per 100,000 population)",223,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
1,"Total, all countries or areas",2020,Life expectancy at birth for both sexes (years),72,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2020,Life expectancy at birth for males (years),69.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2020,Life expectancy at birth for females (years),74.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
2,Africa,2020,Population annual rate of increase (percent),2.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
2,Africa,2020,Total fertility rate (children per women),4.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2021 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
